id_establecimiento,provincia,canton,parroquia,tipo_establecimiento,institucion,sector,provincia_norm,canton_norm,parroquia_norm,codigo_dpa
59,IMBABURA,OTAVALO,SAN PABLO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,IMBABURA,OTAVALO,SAN,3525.0
59,IMBABURA,OTAVALO,SAN PABLO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,IMBABURA,OTAVALO,SAN,3590.0
59,IMBABURA,OTAVALO,SAN PABLO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,IMBABURA,OTAVALO,SAN,3630.0
59,IMBABURA,OTAVALO,SAN PABLO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,IMBABURA,OTAVALO,SAN,5980.0
60,GUAYAS,GUAYAQUIL,PUNÁ,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,GUAYAS,GUAYAQUIL,PUNA,3030.0
61,LOJA,ZAPOTILLO,GARZAREAL,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,LOJA,ZAPOTILLO,GARZAREAL,290.0
62,MANABÍ,PAJÁN,GUALE,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,PAJAN,GUALE,1395.0
63,LOS RÍOS,VENTANAS,ZAPOTAL,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,LOS,VENTANAS,ZAPOTAL,4330.0
64,CHIMBORAZO,GUAMOTE,GUAMOTE,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,CHIMBORAZO,GUAMOTE,GUAMOTE,5430.0
66,CHIMBORAZO,ALAUSÍ,MULTITUD,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,CHIMBORAZO,ALAUSI,MULTITUD,2485.0
67,COTOPAXI,SALCEDO,MULLIQUINDIL (SANTA ANA),Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,COTOPAXI,SALCEDO,MULLIQUINDIL,2490.0
68,ESMERALDAS,ELOY ALFARO,PAMPANAL DE BOLÍVAR,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,ESMERALDAS,ELOY,PAMPANAL,2670.0
69,BOLÍVAR,SAN MIGUEL,RÉGULO DE MORA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,BOLIVAR,SAN,REGULO,4515.0
70,LOJA,LOJA,CHANTACO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,LOJA,LOJA,CHANTACO,4475.0
71,CARCHI,TULCÁN,URBINA (TAYA),Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,CARCHI,TULCAN,URBINA,4130.0
72,BOLÍVAR,GUARANDA,SALINAS,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,BOLIVAR,GUARANDA,SALINAS,3285.0
73,MANABÍ,CHONE,CHIBUNGA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,CHONE,CHIBUNGA,405.0
74,AZUAY,PAUTE,CHICÁN (GUILLERMO ORTEGA),Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,AZUAY,PAUTE,CHICAN,870.0
75,ESMERALDAS,ESMERALDAS,CHINCA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,ESMERALDAS,ESMERALDAS,CHINCA,895.0
76,CAÑAR,CAÑAR,DUCUR,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,CANAR,CANAR,DUCUR,1895.0
78,COTOPAXI,LA MANÁ,LA MANÁ,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,COTOPAXI,MANA,MANA,6535.0
80,CAÑAR,SUSCAL,SUSCAL,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,CANAR,SUSCAL,SUSCAL,6715.0
81,LOJA,SOZORANGA,SOZORANGA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,LOJA,SOZORANGA,SOZORANGA,6120.0
82,COTOPAXI,PUJILÍ,PUJILÍ,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,COTOPAXI,PUJILI,PUJILI,5820.0
83,CAÑAR,CAÑAR,INGAPIRCA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,CANAR,CANAR,INGAPIRCA,1725.0
84,COTOPAXI,SALCEDO,MULLIQUINDIL (SANTA ANA),Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,COTOPAXI,SALCEDO,MULLIQUINDIL,2490.0
85,LOJA,PUYANGO,CIANO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,LOJA,PUYANGO,CIANO,565.0
86,CHIMBORAZO,ALAUSÍ,ACHUPALLAS,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,CHIMBORAZO,ALAUSI,ACHUPALLAS,20.0
87,CHIMBORAZO,ALAUSÍ,TIXÁN,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,CHIMBORAZO,ALAUSI,TIXAN,4030.0
88,BOLÍVAR,CHIMBO,MAGDALENA (CHAPACOTO),Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,BOLIVAR,CHIMBO,MAGDALENA,2315.0
89,CAÑAR,LA TRONCAL,LA TRONCAL,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,CANAR,TRONCAL,TRONCAL,5610.0
90,COTOPAXI,SAQUISILÍ,COCHAPAMBA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,COTOPAXI,SAQUISILI,COCHAPAMBA,990.0
91,COTOPAXI,PUJILÍ,LA VICTORIA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,COTOPAXI,PUJILI,VICTORIA,2150.0
92,ESMERALDAS,ELOY ALFARO,SANTO DOMINGO DE ONZOLE,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,ESMERALDAS,ELOY,SANTO,4465.0
93,MANABÍ,JAMA,JAMA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,JAMA,JAMA,6750.0
94,COTOPAXI,SALCEDO,CUSUBAMBA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,COTOPAXI,SALCEDO,CUSUBAMBA,745.0
95,SUCUMBÍOS,LAGO AGRIO,EL ENO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,SUCUMBIOS,LAGO,ENO,1285.0
96,MORONA SANTIAGO,PALORA,SANGAY (CAB EN NAYAMANACA),Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MORONA,PALORA,SANGAY,3420.0
97,PICHINCHA,CAYAMBE,CAYAMBE CABECERA CANTONAL,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,PICHINCHA,CAYAMBE,CAYAMBE,5190.0
98,EL ORO,ATAHUALPA,CORDONCILLO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,ORO,ATAHUALPA,CORDONCILLO,4480.0
99,CAÑAR,AZOGUES,JAVIER LOYOLA (CHUQUIPATA),Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,CANAR,AZOGUES,JAVIER,1825.0
100,AZUAY,NABÓN,EL PROGRESO (CAB.EN ZHIOTA),Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,AZUAY,NABON,PROGRESO,1175.0
101,LOS RÍOS,VALENCIA,VALENCIA CABECERA CANTONAL,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,LOS,VALENCIA,VALENCIA,6685.0
102,STO DGO TSACHILAS,SANTO DOMINGO,VALLE HERMOSO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,STO,SANTO,VALLE,305.0
103,GUAYAS,NARANJAL,TAURA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,GUAYAS,NARANJAL,TAURA,3990.0
104,MANABÍ,PORTOVIEJO,ABDÓN CALDERON (SAN FRANCISCO),Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,PORTOVIEJO,ABDON,10.0
105,IMBABURA,IBARRA,CAROLINA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,IMBABURA,IBARRA,CAROLINA,530.0
106,MANABÍ,PEDERNALES,PEDERNALES,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,PEDERNALES,PEDERNALES,6430.0
108,MANABÍ,CHONE,ELOY ALFARO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,CHONE,ELOY,1160.0
109,COTOPAXI,SALCEDO,SAN MIGUEL,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,COTOPAXI,SALCEDO,SAN,6000.0
110,EL ORO,PIÑAS,SAN ROQUE (AMBROSIO MALDONADO),Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,ORO,PINAS,SAN,3650.0
111,COTOPAXI,PUJILÍ,PUJILÍ,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,COTOPAXI,PUJILI,PUJILI,5820.0
112,MANABÍ,ROCAFUERTE,ROCAFUERTE,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,ROCAFUERTE,ROCAFUERTE,5885.0
114,AZUAY,CHORDELEG,LUIS GALARZA ORELLANA (CAB. EN DELEGSOL),Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,AZUAY,CHORDELEG,LUIS,1585.0
115,GUAYAS,BALZAR,BALZAR,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,GUAYAS,BALZAR,BALZAR,5100.0
116,MANABÍ,BOLÍVAR,MEMBRILLO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,BOLIVAR,MEMBRILLO,240.0
117,SANTA ELENA,SANTA ELENA,MANGLARALTO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,SANTA,SANTA,MANGLARALTO,2355.0
118,SUCUMBÍOS,LAGO AGRIO,DURENO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,SUCUMBIOS,LAGO,DURENO,1045.0
119,MANABÍ,PAJÁN,CAMPOZANO (LA PALMA DE PAJÁN),Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,PAJAN,CAMPOZANO,460.0
120,SANTA ELENA,SANTA ELENA,SANTA ELENA CABECERA CANTONAL,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,SANTA,SANTA,SANTA,6040.0
121,ESMERALDAS,QUININDE,LA UNIÓN,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,ESMERALDAS,QUININDE,UNION,1530.0
122,AZUAY,PAUTE,EL CABO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,AZUAY,PAUTE,CABO,4565.0
123,MANABÍ,PORTOVIEJO,12 DE MARZO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,PORTOVIEJO,MARZO,5280.0
125,AZUAY,GUALACEO,JADÁN,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,AZUAY,GUALACEO,JADAN,1805.0
126,MANABÍ,24 DE MAYO,SUCRE,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,MAYO,SUCRE,6105.0
127,ESMERALDAS,QUININDE,MALIMPIA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,ESMERALDAS,QUININDE,MALIMPIA,2345.0
128,MANABÍ,CHONE,SANTA RITA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,CHONE,SANTA,6055.0
129,PICHINCHA,CAYAMBE,OLMEDO (PECILLO),Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,PICHINCHA,CAYAMBE,OLMEDO,2600.0
130,IMBABURA,IBARRA,AMBUQUÍ,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,IMBABURA,IBARRA,AMBUQUI,100.0
131,BOLÍVAR,ECHEANDIA,ECHEANDÍA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,BOLIVAR,ECHEANDIA,ECHEANDIA,5350.0
132,IMBABURA,COTACACHI,PEÑAHERRERA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,IMBABURA,COTACACHI,PENAHERRERA,2820.0
133,MANABÍ,FLAVIO ALFARO,FLAVIO ALFARO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,FLAVIO,FLAVIO,5480.0
135,MANABÍ,PICHINCHA,PICHINCHA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,PICHINCHA,PICHINCHA,6550.0
136,MANABÍ,CHONE,CONVENTO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,CHONE,CONVENTO,640.0
137,MANABÍ,24 DE MAYO,NOBOA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,MAYO,NOBOA,2555.0
138,STO DGO TSACHILAS,SANTO DOMINGO,EL ESFUERZO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,STO,SANTO,ESFUERZO,1990.0
139,COTOPAXI,SALCEDO,SAN MIGUEL,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,COTOPAXI,SALCEDO,SAN,6000.0
140,MANABÍ,OLMEDO,OLMEDO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,OLMEDO,OLMEDO,6495.0
141,MANABÍ,ROCAFUERTE,ROCAFUERTE,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,ROCAFUERTE,ROCAFUERTE,5885.0
142,LOJA,ESPÍNDOLA,EL INGENIO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,LOJA,ESPINDOLA,INGENIO,790.0
143,MANABÍ,PORTOVIEJO,ABDÓN CALDERON (SAN FRANCISCO),Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,PORTOVIEJO,ABDON,10.0
144,IMBABURA,IBARRA,AMBUQUÍ,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,IMBABURA,IBARRA,AMBUQUI,100.0
145,MANABÍ,TOSAGUA,TOSAGUA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,TOSAGUA,TOSAGUA,6170.0
146,LOJA,ESPÍNDOLA,EL AIRO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,LOJA,ESPINDOLA,AIRO,1645.0
147,ESMERALDAS,QUININDE,ROSA ZÁRATE (QUININDÉ),Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,ESMERALDAS,QUININDE,ROSA,5895.0
149,BOLÍVAR,CHIMBO,TELIMBELA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,BOLIVAR,CHIMBO,TELIMBELA,3995.0
150,LOJA,PUYANGO,ALAMOR,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,LOJA,PUYANGO,ALAMOR,5005.0
151,ORELLANA,LA JOYA DE LOS SACHAS,LA JOYA DE LOS SACHAS,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,ORELLANA,JOYA,JOYA,6200.0
152,NAPO,TENA,PANO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,NAPO,TENA,PANO,2755.0
153,PICHINCHA,QUITO,PACTO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,PICHINCHA,QUITO,PACTO,2690.0
154,LOS RÍOS,QUINSALOMA,QUINSALOMA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,LOS,QUINSALOMA,QUINSALOMA,6915.0
155,MANABÍ,JIPIJAPA,EL ANEGADO (CAB EN ELOY ALFARO),Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,JIPIJAPA,ANEGADO,1115.0
156,MANABÍ,PUERTO LÓPEZ,PUERTO LÓPEZ,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,PUERTO,PUERTO,6575.0
157,LOJA,PUYANGO,EL LIMO (MARIANA DE JESUS),Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,LOJA,PUYANGO,LIMO,1155.0
158,STO DGO TSACHILAS,SANTO DOMINGO,ZARACAY,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,STO,SANTO,ZARACAY,6180.0
159,PICHINCHA,QUITO,GUALEA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,PICHINCHA,QUITO,GUALEA,1400.0
160,MANABÍ,EL CARMEN,EL CARMEN CABECERA CANTONAL,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,CARMEN,CARMEN,5300.0
161,MANABÍ,BOLÍVAR,CALCETA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MANABI,BOLIVAR,CALCETA,5150.0
162,COTOPAXI,PUJILÍ,TINGO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,COTOPAXI,PUJILI,TINGO,4015.0
163,IMBABURA,COTACACHI,QUIROGA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,IMBABURA,COTACACHI,QUIROGA,3115.0
164,EL ORO,MARCABELÍ,MARCABELÍ,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,ORO,MARCABELI,MARCABELI,6570.0
165,MORONA SANTIAGO,LIMÓN INDANZA,YUNGANZA (CAB EN EL ROSARIO),Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,MORONA,LIMON,YUNGANZA,4305.0
166,GUAYAS,EMPALME,EL ROSARIO,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,GUAYAS,EMPALME,ROSARIO,1640.0
167,SUCUMBÍOS,PUTUMAYO,PALMA ROJA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,SUCUMBIOS,PUTUMAYO,PALMA,2720.0
168,COTOPAXI,PUJILÍ,ANGAMARCA,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,COTOPAXI,PUJILI,ANGAMARCA,125.0
169,LOJA,SARAGURO,EL TABLÓN,Dispensario Médico (Policlínico),Seguro Social Campesino,Sector público,LOJA,SARAGURO,TABLON,1190.0
